id,true_0,score_0,score_1
0,1.0,0.00061084615,0.9993892
1,1.0,1.0750892e-10,1.0
2,0.0,0.9999994,6.024688e-07
3,1.0,0.00044028444,0.9995597
4,1.0,3.440578e-07,0.99999964
5,0.0,0.999995,5.0083113e-06
6,0.0,0.9999999,1.7004251e-07
7,1.0,0.002971428,0.99702865
8,0.0,0.9999999,1.01283234e-07
9,1.0,1.1913131e-08,1.0
10,1.0,0.000531285,0.99946874
11,1.0,1.5377552e-06,0.99999845
12,0.0,0.9998672,0.00013277604
13,0.0,0.99999464,5.3713284e-06
14,1.0,1.708574e-09,1.0
15,1.0,3.496045e-08,1.0
16,0.0,0.9999467,5.3310498e-05
17,0.0,0.99765515,0.0023448598
18,1.0,0.00027798724,0.99972194
19,1.0,6.471176e-10,1.0
20,1.0,0.00012692777,0.99987304
21,0.0,0.9737055,0.026294561
22,0.0,0.99999785,2.138698e-06
23,1.0,7.798797e-09,1.0
24,1.0,1.6560129e-09,1.0
25,1.0,6.4810513e-07,0.9999994
26,1.0,5.3539347e-06,0.99999464
27,0.0,0.9691704,0.030829618
28,1.0,4.8388404e-07,0.9999995
29,0.0,0.98919666,0.010803348
30,1.0,1.7470538e-06,0.9999982
31,1.0,4.72295e-10,1.0
32,1.0,1.9806963e-08,1.0
33,1.0,3.9533314e-09,1.0
34,1.0,1.1399163e-07,0.9999999
35,0.0,0.95339704,0.046602976
36,1.0,1.6239787e-10,1.0
37,0.0,0.9999958,4.18779e-06
38,1.0,0.05060512,0.9493949
39,1.0,1.657204e-09,1.0
40,1.0,1.3645926e-07,0.9999999
41,0.0,0.99991274,8.727874e-05
42,1.0,1.5031649e-09,1.0
43,1.0,2.1218285e-07,0.99999976
44,1.0,3.9094175e-05,0.9999609
45,1.0,2.5788143e-09,1.0
46,1.0,6.444589e-07,0.9999994
47,1.0,3.328463e-08,1.0
48,1.0,5.760792e-09,1.0
49,1.0,1.1957836e-09,1.0
50,1.0,2.7849202e-08,1.0
51,1.0,3.5836078e-06,0.9999964
52,1.0,1.407952e-08,1.0
53,1.0,0.0033510253,0.99664897
54,1.0,6.2488595e-12,1.0
55,1.0,3.4413162e-07,0.99999964
56,1.0,9.912942e-10,1.0
57,1.0,2.8367267e-10,1.0
58,1.0,9.643372e-07,0.99999905
59,1.0,2.7730055e-06,0.99999726
60,1.0,0.000731686,0.99926835
61,1.0,0.009533209,0.9904668
62,1.0,1.4754258e-07,0.9999999
63,1.0,0.0034215555,0.9965784
64,1.0,0.0009853616,0.9990146
65,1.0,3.7199293e-09,1.0
66,1.0,5.7376045e-11,1.0
67,1.0,1.7599791e-11,1.0
68,1.0,0.12198123,0.8780188
69,1.0,0.11070082,0.88929915
70,1.0,2.3191671e-10,1.0
71,1.0,4.491809e-13,1.0
72,0.0,0.9999912,8.817835e-06
73,1.0,1.6134429e-08,1.0
74,0.0,0.99994254,5.743495e-05
75,1.0,2.7528907e-07,0.99999976
76,0.0,1.0,1.9063656e-08
77,1.0,1.4662133e-06,0.99999857
78,1.0,2.2989017e-08,1.0
79,1.0,0.00052747544,0.99947256
80,0.0,0.9999993,6.751153e-07
81,1.0,0.015034366,0.9849657
82,1.0,0.0001505262,0.99984944
83,1.0,6.585476e-06,0.99999344
84,1.0,2.2292677e-09,1.0
85,1.0,1.7484972e-06,0.9999982
86,0.0,0.9949995,0.0050004763
87,1.0,2.649591e-06,0.9999974
88,1.0,1.1107734e-06,0.9999989
89,0.0,0.9993993,0.0006007259
90,1.0,4.4811763e-06,0.99999547
91,0.0,0.9999294,7.0544964e-05
92,0.0,0.9998971,0.000102916674
93,1.0,2.9906324e-09,1.0
94,0.0,0.9986351,0.0013648245
95,0.0,0.99999714,2.9169298e-06
96,0.0,0.9998104,0.00018961163
97,1.0,6.6885564e-06,0.9999933
98,1.0,8.413697e-05,0.99991584
99,1.0,0.00028482112,0.99971515
100,1.0,1.5597966e-11,1.0
101,1.0,1.1086021e-07,0.9999999
102,0.0,0.9997527,0.00024725858
103,1.0,0.0030759573,0.996924
104,1.0,9.636734e-09,1.0
105,1.0,9.7555e-09,1.0
106,1.0,0.016232518,0.9837675
107,1.0,2.614196e-05,0.9999739
108,0.0,0.99999475,5.289083e-06
109,1.0,4.8559077e-08,1.0
110,1.0,2.0195933e-11,1.0
111,1.0,1.2249717e-10,1.0
112,1.0,9.0193e-09,1.0
113,0.0,0.9994474,0.0005525521
114,1.0,2.2548626e-08,1.0
115,1.0,8.6399785e-07,0.99999917
116,1.0,2.5664878e-07,0.99999976
117,1.0,4.1232045e-07,0.99999964
118,1.0,0.000110324334,0.9998896
119,1.0,7.888594e-08,0.9999999
120,1.0,1.1360825e-06,0.9999988
121,0.0,0.99993134,6.868135e-05
122,1.0,3.370681e-06,0.99999666
123,1.0,6.2673365e-07,0.9999994
124,1.0,0.00091464375,0.9990853
125,1.0,6.99801e-14,1.0
126,1.0,5.918929e-09,1.0
127,0.0,0.99771607,0.0022839285
128,1.0,2.996761e-08,1.0
129,0.0,0.9627659,0.037234165
130,1.0,1.3910393e-08,1.0
131,1.0,4.3715027e-12,1.0
132,1.0,1.29388345e-05,0.999987
133,0.0,0.99908507,0.00091496104
134,0.0,0.9999987,1.2954017e-06
135,1.0,0.030676706,0.9693233
136,1.0,7.16791e-11,1.0
137,0.0,0.99999714,2.8761197e-06
138,1.0,1.2671259e-08,1.0
139,0.0,0.9991352,0.00086477946
140,0.0,0.99999654,3.4388895e-06
141,0.0,0.9999993,7.1999693e-07
142,1.0,4.564457e-14,1.0
143,1.0,4.692969e-09,1.0
144,1.0,1.8205079e-05,0.99998176
145,1.0,0.0005153595,0.99948466
146,0.0,1.0,1.0303488e-08
