id,true_0,score_0,score_1,score_2,score_3,score_4,score_5,score_6
0,6.0,0.0006231758,0.0012039761,0.0043749977,2.7889067e-05,0.008469576,0.8583854,0.12691498
1,1.0,0.15349923,0.19221559,0.30526182,0.0045740716,0.19095424,0.150706,0.0027890578
2,5.0,0.0011410757,0.0020861768,0.058534846,0.005237635,0.030985888,0.90146786,0.0005465252
3,0.0,0.2957729,0.23693109,0.281481,0.004169722,0.05125278,0.13012002,0.00027247716
4,2.0,0.026471341,0.029085957,0.19317177,0.00603859,0.007968849,0.7352711,0.0019923907
5,5.0,2.53425e-07,3.7343664e-06,0.0011932829,1.7482463e-07,0.00024971634,0.9973809,0.001171983
6,5.0,2.4653423e-06,3.884156e-05,0.0026989032,4.728812e-08,0.0153931985,0.95770884,0.024157772
7,5.0,0.0007167483,0.002535086,0.04921368,0.001991279,0.061966076,0.8818977,0.0016794176
8,2.0,0.0006029218,0.0014367917,0.12089362,2.7837428e-05,0.32679325,0.5496636,0.000581987
9,2.0,0.040457286,0.0749291,0.5041184,0.04409314,0.18868156,0.14706734,0.0006532075
10,5.0,0.00039797288,0.00073550217,0.011968331,0.00023492666,0.051159266,0.927781,0.0077229966
11,5.0,0.0009806735,0.015884988,0.06411232,0.0004675639,0.090075724,0.8080957,0.020383017
12,5.0,0.004821443,0.016443636,0.06058828,0.0008840079,0.11002866,0.7824262,0.024807729
13,5.0,1.0734058e-05,0.0002939161,0.01747936,7.525396e-05,0.011110271,0.9640416,0.0069888374
14,5.0,0.009854658,0.01930132,0.071973905,0.00016810835,0.22429064,0.6701816,0.004229802
15,5.0,0.000569575,0.002053048,0.048491515,0.005663357,0.008906378,0.9332758,0.0010402172
16,4.0,0.02360992,0.037095863,0.113470696,0.0055616377,0.101861484,0.7127697,0.0056306967
17,4.0,0.016645681,0.008004095,0.1109787,1.2837614e-05,0.43329564,0.429928,0.0011349974
18,5.0,0.072537996,0.07194403,0.09772347,0.0052322256,0.16165543,0.5762998,0.01460704
19,5.0,0.10727011,0.33316895,0.22875394,0.037619233,0.14148457,0.14786632,0.00383684
20,5.0,0.0016464322,0.09152122,0.16650808,0.0011830697,0.18663637,0.49552372,0.05698112
21,5.0,1.6348158e-05,8.887242e-05,0.0012378794,6.018501e-06,0.00011201662,0.9862607,0.012278111
22,5.0,2.279945e-05,0.00016866959,0.011793939,0.00065971696,0.0005469744,0.9863477,0.00046018415
23,5.0,0.009156729,0.021755528,0.28881568,0.001215792,0.41376117,0.26512483,0.00017027807
24,2.0,0.07568369,0.119943656,0.6032485,0.011672908,0.09707308,0.09211851,0.0002596964
25,2.0,0.071126014,0.05748457,0.26036665,0.008691315,0.1572324,0.44437203,0.0007269555
26,5.0,0.033255797,0.077146344,0.10349184,0.004878624,0.12228671,0.65545005,0.0034906461
27,5.0,0.0018477755,0.0011700885,0.006450708,0.00028580258,0.0072251502,0.98112637,0.0018940717
28,5.0,0.001665153,0.007360447,0.022102611,0.0020920695,0.029766766,0.9248161,0.012196924
29,5.0,0.004573588,0.019996557,0.055384606,0.006467211,0.0033446536,0.9042958,0.0059376354
30,5.0,0.0073386296,0.03045008,0.067519024,0.0059468867,0.16043723,0.72031903,0.007989074
31,5.0,5.1963434e-05,0.0016062566,0.041818425,0.00025370656,0.0991045,0.8565967,0.00056836003
32,5.0,0.0017566276,0.00828308,0.080898665,0.00059790077,0.14092982,0.7124901,0.055043917
33,0.0,0.24347052,0.05705855,0.38530222,0.012669711,0.14610809,0.15517364,0.00021725926
34,5.0,4.0878174e-05,5.160256e-05,0.0018099595,1.7666614e-05,0.0021287163,0.99560034,0.00035075922
35,5.0,0.0042952118,0.015804095,0.08454326,0.00022636473,0.13176675,0.7516165,0.011747906
36,5.0,0.08038123,0.014318983,0.08707583,8.2976614e-05,0.07710448,0.73886436,0.0021721027
37,0.0,0.21633834,0.093691334,0.33941284,0.013700361,0.11440743,0.2220315,0.00041821887
