id,true_0,score_0,score_1
0,0.0,0.99999714,2.8206814e-06
1,1.0,0.2927253,0.70727473
2,1.0,0.039924864,0.9600752
3,1.0,0.037877243,0.9621228
4,1.0,1.388184e-07,0.9999999
5,0.0,0.9956969,0.0043030777
6,1.0,3.2299945e-07,0.99999964
7,1.0,0.0001853563,0.9998147
8,1.0,0.22884122,0.77115875
9,1.0,1.1435982e-06,0.9999988
10,1.0,0.0002555387,0.9997445
11,0.0,0.9936278,0.0063722115
12,1.0,0.8984623,0.10153776
13,0.0,0.99919313,0.00080691173
14,0.0,0.99991953,8.0447826e-05
15,1.0,1.7001703e-06,0.99999833
16,1.0,7.982273e-06,0.999992
17,1.0,0.003015732,0.9969843
18,1.0,2.102901e-05,0.999979
19,1.0,1.1195877e-08,1.0
20,1.0,5.9526035e-05,0.9999405
21,1.0,8.479329e-06,0.99999154
22,0.0,0.9989968,0.0010031846
23,1.0,2.7706847e-07,0.99999976
24,1.0,0.00030588912,0.9996941
25,1.0,3.9834163e-06,0.99999607
26,0.0,0.9999939,6.055417e-06
27,1.0,0.014967416,0.98503256
28,1.0,4.0961044e-05,0.999959
29,1.0,2.3084892e-08,1.0
30,0.0,0.9999763,2.3680224e-05
31,1.0,0.029292218,0.9707078
32,1.0,2.0178395e-07,0.99999976
33,1.0,0.9517857,0.048214305
34,1.0,2.0652158e-05,0.9999794
35,0.0,0.9999726,2.7405124e-05
36,1.0,3.431385e-05,0.99996567
37,1.0,0.01797416,0.9820258
38,0.0,0.996781,0.0032189817
39,0.0,0.9999405,5.944712e-05
40,0.0,0.17705233,0.8229477
41,0.0,0.9453854,0.05461459
42,1.0,0.00016872416,0.9998312
43,1.0,0.02308452,0.9769155
44,1.0,1.1109831e-06,0.9999989
45,1.0,0.0004150506,0.999585
46,1.0,9.012285e-07,0.99999905
47,1.0,0.0005122418,0.99948776
48,1.0,0.00013586367,0.9998641
49,1.0,1.1923722e-06,0.9999988
50,0.0,0.99969935,0.00030067598
51,1.0,0.5104289,0.48957106
52,1.0,4.7137215e-07,0.9999995
53,0.0,0.99997556,2.4459618e-05
54,1.0,0.010694736,0.98930526
55,0.0,0.99999845,1.5532518e-06
56,0.0,0.9880569,0.011943147
57,1.0,0.0010910706,0.9989089
58,1.0,2.2780023e-05,0.99997723
59,1.0,1.3513283e-08,1.0
60,0.0,0.9972486,0.0027513704
61,0.0,0.5165474,0.48345262
62,1.0,0.04520995,0.95479006
63,1.0,3.6613133e-06,0.9999963
64,1.0,0.002159322,0.99784064
65,1.0,0.00011815207,0.99988186
66,1.0,3.0418714e-05,0.9999696
67,0.0,0.99992466,7.5385746e-05
68,1.0,0.00029830326,0.9997017
69,0.0,0.9977386,0.0022613776
70,1.0,0.98186433,0.018135687
71,1.0,0.00040501257,0.999595
72,0.0,0.9999976,2.39959e-06
73,0.0,0.999767,0.00023296675
74,1.0,1.105131e-06,0.9999989
75,1.0,0.9991866,0.00081345503
76,1.0,2.6070705e-07,0.99999976
77,1.0,0.0075438917,0.9924561
78,0.0,0.99999976,2.4234288e-07
79,1.0,1.2067166e-05,0.99998796
80,1.0,0.12196916,0.87803084
81,1.0,1.3807396e-05,0.9999862
82,1.0,2.9374305e-05,0.9999707
83,1.0,1.7209306e-05,0.99998283
84,0.0,0.9994795,0.0005205249
85,1.0,0.0027760577,0.997224
86,0.0,0.9999372,6.282765e-05
87,1.0,2.630296e-06,0.9999974
88,0.0,0.9975631,0.002436917
89,0.0,0.99996746,3.2602344e-05
90,1.0,4.009068e-05,0.99995995
91,1.0,0.0012362247,0.9987638
92,1.0,5.2802557e-07,0.9999995
93,1.0,2.8183752e-07,0.99999976
94,0.0,0.9986884,0.0013116404
95,1.0,0.046017215,0.9539828
96,1.0,0.0012402069,0.99875975
97,1.0,4.092665e-05,0.9999591
98,0.0,0.99989116,0.000108855595
99,1.0,3.2582552e-06,0.9999968
100,0.0,0.5441381,0.45586196
101,1.0,0.008503355,0.9914967
102,1.0,5.1394554e-06,0.9999949
103,1.0,3.5621412e-07,0.99999964
104,1.0,0.0076358006,0.99236417
105,1.0,1.8011926e-05,0.999982
106,1.0,6.497005e-08,0.9999999
107,0.0,0.9994584,0.00054159074
108,0.0,0.96884,0.031160036
109,1.0,2.2923528e-05,0.9999771
110,1.0,0.043502044,0.956498
111,0.0,0.999824,0.00017602832
112,0.0,0.9976247,0.0023753096
113,1.0,8.655789e-05,0.99991345
114,1.0,0.0038366201,0.99616337
115,0.0,0.9997452,0.000254778
116,0.0,0.99958986,0.00041017387
117,1.0,1.3449019e-05,0.9999865
118,0.0,0.99998343,1.6607193e-05
119,1.0,0.0031684588,0.9968316
120,1.0,2.3896785e-06,0.9999976
121,0.0,0.9999577,4.2376818e-05
122,1.0,0.03977637,0.9602237
123,0.0,0.99992263,7.7374796e-05
124,1.0,0.00032762365,0.9996724
125,1.0,1.4833812e-05,0.9999852
126,1.0,0.0023277781,0.99767226
127,0.0,0.9999963,3.7041784e-06
128,1.0,1.4858432e-05,0.9999851
129,1.0,0.02179558,0.9782045
130,1.0,2.1685398e-06,0.99999785
131,0.0,0.99196386,0.008036068
132,1.0,0.00015377955,0.9998462
133,1.0,1.0398647e-06,0.9999989
134,1.0,0.0053140977,0.9946859
135,1.0,9.853926e-08,0.9999999
136,0.0,0.99977034,0.00022964375
137,0.0,0.9943037,0.005696377
138,1.0,0.021497708,0.9785023
139,1.0,6.997426e-05,0.99993
140,1.0,0.0006303675,0.9993697
141,1.0,6.019042e-06,0.99999404
142,1.0,0.023222314,0.97677773
143,1.0,2.3783691e-07,0.99999976
144,1.0,1.0967191e-06,0.9999989
145,1.0,0.04033973,0.95966023
146,1.0,0.1036311,0.89636886
147,1.0,7.2488587e-07,0.9999993
148,1.0,0.0008838135,0.9991161
149,1.0,8.740659e-06,0.9999913
150,1.0,0.0008205715,0.9991794
151,1.0,3.2258722e-08,1.0
152,1.0,0.0285992,0.97140074
153,0.0,0.99999654,3.4933373e-06
154,1.0,0.0032945713,0.9967055
155,1.0,0.5401709,0.4598291
156,1.0,0.009454743,0.9905453
157,1.0,6.44541e-09,1.0
158,1.0,3.757107e-06,0.9999962
159,0.0,0.9994936,0.0005064015
160,1.0,6.001532e-08,0.9999999
161,1.0,0.00033997104,0.99966
162,1.0,0.00048765322,0.9995123
163,1.0,5.5131274e-08,1.0
164,1.0,8.211242e-05,0.99991786
165,0.0,0.9653627,0.034637347
166,0.0,0.99982184,0.00017821963
167,1.0,0.0001319179,0.99986804
168,1.0,0.35746303,0.642537
169,1.0,0.15547691,0.8445231
170,0.0,0.0019299034,0.99807006
171,1.0,0.00017550877,0.99982446
172,1.0,0.0033293476,0.99667066
173,1.0,0.011426583,0.98857343
174,1.0,4.855448e-05,0.9999515
175,1.0,7.592872e-08,0.9999999
176,1.0,0.0019916962,0.9980083
177,1.0,3.2122847e-05,0.99996793
178,1.0,5.157629e-07,0.9999995
179,1.0,1.7447866e-07,0.9999999
180,1.0,2.308981e-07,0.99999976
181,1.0,0.00112761,0.99887234
182,0.0,0.9999825,1.7522432e-05
183,1.0,7.203761e-07,0.9999993
184,1.0,3.0372776e-06,0.999997
185,1.0,2.9491423e-07,0.99999976
186,0.0,0.99997294,2.7049226e-05
187,0.0,0.99997663,2.3386481e-05
188,1.0,1.2239696e-05,0.9999877
189,1.0,4.8581035e-07,0.9999995
190,0.0,0.9999937,6.3701173e-06
191,1.0,0.14926752,0.8507325
192,1.0,6.915678e-05,0.99993086
193,1.0,0.040247016,0.95975304
194,1.0,0.20034693,0.7996531
195,0.0,0.99922013,0.0007798274
196,1.0,0.002211159,0.9977888
197,1.0,0.0003090662,0.999691
198,1.0,3.831335e-05,0.99996173
199,1.0,0.051378977,0.948621
200,1.0,4.8899904e-07,0.9999995
201,1.0,2.0629834e-08,1.0
202,1.0,5.4605727e-05,0.9999454
203,1.0,0.00010411321,0.99989593
204,1.0,0.00036166003,0.9996383
205,1.0,1.4162984e-05,0.9999858
206,0.0,0.99519926,0.0048007295
207,0.0,0.99997747,2.2502376e-05
208,1.0,0.10435389,0.8956461
209,0.0,0.99748695,0.0025130564
210,1.0,7.798562e-05,0.99992204
211,1.0,4.058823e-05,0.99995947
212,1.0,0.0004220979,0.99957794
213,1.0,3.4363886e-05,0.99996567
214,0.0,0.99994504,5.4933254e-05
215,1.0,2.5357338e-06,0.9999975
216,0.0,0.9999969,3.1473571e-06
217,0.0,0.8164854,0.18351458
218,0.0,0.9999896,1.0385931e-05
219,1.0,0.001600667,0.9983993
220,0.0,0.99998033,1.968935e-05
221,1.0,0.00048782647,0.9995122
222,1.0,0.0001048105,0.9998952
223,1.0,2.2555774e-07,0.99999976
224,1.0,1.0274914e-08,1.0
225,1.0,0.6090587,0.39094126
226,1.0,8.035483e-05,0.99991965
227,1.0,3.708565e-06,0.9999963
228,1.0,3.7759867e-06,0.9999962
229,1.0,0.0012106703,0.99878937
230,1.0,3.3610982e-07,0.99999964
231,1.0,0.00014983768,0.99985015
232,0.0,0.99992526,7.477176e-05
233,0.0,0.99995255,4.7405127e-05
234,1.0,8.4576975e-05,0.99991536
235,1.0,7.5903816e-05,0.99992406
236,0.0,0.9999974,2.6139815e-06
237,1.0,4.0920793e-05,0.9999591
238,1.0,0.00020296198,0.99979705
239,0.0,0.9991818,0.0008181518
240,1.0,1.12738535e-05,0.9999887
241,1.0,1.263258e-05,0.99998736
242,1.0,3.3510548e-07,0.99999964
243,1.0,6.139399e-05,0.9999386
244,0.0,0.9999627,3.7303133e-05
245,1.0,0.00045478778,0.99954516
246,1.0,5.2305854e-06,0.99999475
